ra,dec,g
299.9825126,-0.97364665,22.87858
299.98132738,-0.97549705,24.977531
299.98322144,-1.02572661,17.384544
299.9821335,-1.02715896,17.613577
299.98240782,-1.02434562,23.797424
299.99101283,-0.97160828,18.185358
299.98751501,-0.97108867,19.377295
299.99089762,-0.97033613,22.225628
299.9863212,-0.97163124,21.039667
299.99028113,-0.97217003,22.888304
299.98859168,-0.97287597,24.383511
299.9966291,-1.03304862,17.226452
300.01927917,-0.9782052,19.149897
300.02588006,-1.01380138,24.597004
300.0245439,-0.9841173,18.389772
300.02500981,-0.97994191,21.130205
300.02446827,-0.98147042,22.604717
300.02540604,-0.98187561,20.865992
300.0258803,-0.9801726,22.133917
299.97680865,-1.01984579,19.630299
299.98652334,-1.02573255,19.652784
299.9960649,-0.96766376,19.951891
300.01757098,-0.97469432,20.003246
300.01782939,-0.97552063,20.737303
300.01604182,-0.97292266,20.306082
300.01525959,-0.97075715,20.698435
300.01404674,-0.97047895,24.085005
300.01455646,-0.97206614,22.037344
300.03171864,-1.0062472,19.72929
300.00451852,-0.9679329,22.600307
300.00254675,-0.96857737,20.163029
300.02654227,-0.9888712,21.474012
300.02682773,-0.98772635,22.710302
300.02689825,-0.98608751,24.897045
299.9751474,-1.01733317,21.882177
299.98972813,-1.02937469,21.214376
300.00486896,-1.03224087,22.481441
300.00241347,-1.03146568,22.858263
300.00261864,-1.03275482,23.202215
300.01126857,-0.96976781,21.766428
300.01222312,-1.02774387,21.774088
300.01391806,-1.0287054,26.399485
300.02546946,-1.01636115,22.103235
300.02635518,-1.01785477,25.463322
300.0285295,-1.00058404,22.573721
300.02897791,-1.00016685,22.179964
300.02983671,-1.00195881,25.528809
300.0296242,-0.99321006,21.041149
300.02962278,-0.99216005,24.138865
300.02877086,-0.99371798,26.205282
300.02807438,-0.99489728,24.966484
300.02823345,-0.99198941,26.097738
300.03244601,-0.99798226,21.288134
299.98397484,-0.97086449,23.289549
299.98524552,-1.02960899,23.797276
299.9920833,-1.02845975,25.658264
299.99181034,-1.02752294,23.293314
300.02502282,-1.01976357,23.961437
300.03042334,-0.98809072,24.143179
300.03132697,-1.00006279,22.89189
300.03122723,-1.01058509,23.852226
299.99828137,-0.96794664,23.860607
300.00140071,-0.97111945,23.632254
300.02841929,-0.98461007,23.509811
